item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel
Panini Waffletechnology Check Scanner Cleaning Card [Electronics]	Eliminate dirt and ink buildup with a Panini approved cleaning card!  Panini Check Scanners require regular preventive maintenance to maintain clean images of checks. This product will clean lenses, check paths, belts and guide rollers to keep the unit operating properly.  Check scanners accumulate dirt from pollutants in the environment and by checks being processed. This dirt collects and clouds the optical lenses, which are the most critical components of the scanner. These optics allow the imaged check to become a legal document for check clearing as stated in the Check 21 law. The ability of the scanner to properly create the image is why the optics are the most critical component of the scanner.  Panini Waffletechnology Check Scanner Cleaning Cards were developed to clean the scanners optics of built up dirt and ink. In addition, it will also clean the magnetic heads and the transport roller mechanisms that allow the check to pass through the scanner. This card, when used as a consistent maintenance product, will keep your Panini Vision X?, My Vision X and I:Deal? Check Scanner performing as designed.  This product works on Panini VisionX?, Panini My VisionX® and Panini I:Deal? check scanners  Panini Waffletechnology Check Scanner Cleaning Card is an approved product by Panini for use on the Vision X?, My Vision X® and I:Deal? Check Scanners. This product was developed and tested to be an effective means of maintaining this equipment through a joint development project between Panini and the engineers at Waffletechnology®  How Waffletechnology ® Works  Waffletechnology is an advancement in cleaning card technology. The cleaning waffles are flexible, raised platforms which allow the card to thoroughly clean areas within the scanner. Now more dirt and contaminants are removed than ever before, leaving your check scanners cleaner and more reliable.  Usage Recommendation: Equipment is recommended to be cleaned once (1) per week	0414IT0O9XF	#1 Panini Clean Card	28.95		2011-04-14 12:25:13 PDT		y	1		Fast Shipping!  Usually ships in 24 hours.  100% Satisfaction Guaranteed!	11				B004P3ZBZM			1	Domestic		B004P3ZBZM				AMAZON_NA
Thermal Printer Cleaning Pens, Box of 12 [Electronics]	Used to clean the thermal print head. This item looks just like a marking pen or highlighter and  has cleaning solution in it.   Specially designed to remove ink, dirt and contamination  buildup on thermal print heads.   Allows printer to print cleaner, clearer and crisper.   Just swipe cleaning pen across entire printer head surface.   Use every time paper stock is changed RoHS Compliant.   Shelf life: New and unopened 2 years.   Opened and cap replaced correctly 6 months.   Opened and cap not replaced correctly 1-2 days.   12 per box	0911IXSXGY3	#12CleanPen	16.95		2011-09-11 14:58:16 PDT		y	1			11				B005MGRWI0			1	N		B005MGRWI0				AMAZON_NA
Cleaning Card for Mag Stripe Card Readers Lot/12 [Electronics]	Manufacturer recommended Cleaning Cards help keep your Credit Card Readers clean and efficient. Just swipe the Cleaning Cards through your magnetic stripe readers and eliminate dirt and residue for positive scanning results. The pre-saturated, disposable head cleaning card is specially designed to safely and effectively remove all dirt, magnetic oxides and other contaminants from all concealed magnetic heads, photo and optic sensors on many different types of reader mechanisms	0605ILCJXQ3	#12MagStripe	9.95	7	2011-06-05 09:20:28 PDT		y	1			11				B0054ETSXW			1	N		B0054ETSXW			0	DEFAULT
Thermal Printer Cleaning Cards Lot of 25	·Designed and formulated to safely remove all dirt, ink, tape, residue, adhesive and other    contaminants from thermal print heads, paper guides and paper path ·Improves print quality and legibility ·Protects your equipment - increases printer life, reliability and performance ·Safe, easy and effective ·Works on all thermal printers ·Approved and recommended for use by major equipment manufacturers ·Recommended usage: Use thermal printer cleaning card before inserting every roll of paper stock ·Size: 2? x 6" This card is 99.9% IPA based in order to clean the printer head.	0605IL3Y7G3	#25 29-0005	22.95		2011-06-04 17:14:38 PDT		y	1		Fast Shipping - ships within 24 hours!  100% Satisfaction Guaranteed!	11				B0054EJ3BY			1	Domestic		B0054EJ3BY				AMAZON_NA
Cleaning Cards for Magnetic Stripe Credit Card Readers Lot/25 [Electronics]	Manufacturer recommended Cleaning Cards keep your Credit Card Readers clean and efficient. Just swipe the Cleaning Cards through your magnetic stripe readers to help eliminate dirt build up. Pre-saturated, disposable head cleaning card is designed to safely and effectively remove all dirt, magnetic oxides and other contaminants from all types of concealed magnetic heads, photo and optic sensors on many different types of reader mechanisms.	0605ILCFY6L	#25MagStripe	17.95	4	2011-06-05 09:00:39 PDT		y	1		Fast Shipping - Ships within 24 hours!  100% Satisfaction Guaranteed!	11				B0054GDLY2			1	Domestic		B0054GDLY2			0	DEFAULT
Key-Bak Model #6 Heavy Duty Key Reel [Office Product]		0505I2CP2E9	#6 Key-Bak	12.45		2011-05-05 13:39:22 PDT		y	1		Fast Shipping - Ships within 24 hours!  100% Satisfaction Guaranteed!	11				B004LOJ7QY			1	Domestic		B004LOJ7QY				AMAZON_NA
12 White Smooth Foosballs [Misc.]		0715IHOAU93	#WhiteSmoothFoosball	8.95		2011-07-15 07:47:11 PDT		y	1		Fast Shipping!  Ships within 24 hours!  100% Satisfaction Guaranteed!	11				B001H8I6LO			1	Domestic		B001H8I6LO				AMAZON_NA
Dart Pro Plastic Soft Tip Dart Set Lot of 12 Assorted Colors [Misc.]	Commercial quality bar dart set great for home use.  Assorted color dart set - pack of 12.  3 each color - Red, Blue, Black and Yellow.  High quality plastic flight and tip.  1/4" black replaceable tip with threaded brass collar.  Approximately 5.75" long.  Dart Pro logo is stamped on the flight to ensure that you are receiving Dart Pro quality!	0727IOF6Q6L	*12DartPro	12.49		2011-07-26 17:57:13 PDT		y	1			11				B005EOC3UW			1	Domestic		B005EOC3UW				AMAZON_NA
12 Black and White Engraved Soccer Foosballs [Misc.]		0713IGOBIZ9	*B/W Foosball	13.45		2011-07-13 15:43:18 PDT		y	1		Fast Shipping!  Ships within 24 hours!  100% Satisfaction Guaranteed!	11				B001D6O2ZY			1	Domestic		B001D6O2ZY				AMAZON_NA
Plastic Soft Tip Dart Set [Misc.]		0807IVCPJ0L	*DartPro12	7.5	6	2011-08-07 09:57:52 PDT		y	1		Fast Shipping!  Ships within 24 hours First Class!  100% Satisfaction Guaranteed!	11				B004NDP7OY			1	Domestic		B004NDP7OY			0	DEFAULT
A Tale of Two Cities (Classic Retelling) by Dickens, Charles		0329IK0MN8R	0L-G2T1-Q9GJ	7.5	1	2011-03-28 19:58:09 PDT		y	1		Brand New.  Fast Shipping!  100% Satisfaction Guaranteed!	11				0618031502			2	Domestic,Second		0618031502			0	DEFAULT
His Thoughts Toward Me (Heart For God Series) by Chapian, Marie		0224I3A7V3L	0L-VU04-Q86H	4.99		2011-02-24 13:37:10 PST		y	1		Beautiful copy - looks unread with tight spine and clean pages.  There is a gift inscription on the header page.  Fast Shipping!  100% Satisfaction Guaranteed!	1				0871239620			2	Domestic,International,Next,Second		0871239620				AMAZON_NA
The Knitters Bible - Knitted Bags: 25 Irresistible Projects from Frivolously ...		1216GAW6QRF	0P-42BV-9RC1	4.99	1	2010-12-16 10:56:02 PST		y	1		Tight spine / clean pages.  Fast Shipping!  100% Satisfaction Guaranteed	1				0715323261			1	Domestic		0715323261			0	DEFAULT
Society, Ethics, and Technology by Winston, Morton; Edelbach, Ralph		0327IJBR8PF	0P-64OG-9VB9	4.99	1	2011-03-26 17:32:30 PDT		y	1		Nice clean copy with bright unmarked pages.  Fast Shipping!  100% Satisfaction Guaranteed!	2				0534520855			2	Domestic,Second		0534520855			0	DEFAULT
Rick Steves' Italian Phrase Book by Steves, Rick		1015GGL9K9R	0W-TGX1-CWQS	4.99	1	2010-10-15 10:42:52 PDT		y	1		Personal copy rarely used.  Slight shelf wear on cover. Tight binding.  Clean pages.  100% Satisfaction Guaranteed!	2				1562612158			2	Domestic,International,Next,Second		1562612158			0	DEFAULT
Why I Believe: In the Bible, God, Creation, Heaven, Hell, Moral Absolutes, Ch...		0319IFFEMZ9	0W-XBGT-D2VC	10.64		2011-03-18 19:15:01 PDT		y	1		Fast Shipping!  100% Satisfaction Guaranteed!	11				0849901537			2	Domestic,International,Next,Second		0849901537				AMAZON_NA
Research and Evaluation Methods in Special Education [Paperback]		0417IU1LXCX	100	35.34	1	2011-04-16 19:30:07 PDT		y	2		Cover has slight shelf rub and very slight curl from storage and handling.. Fast Shipping! 100% Satisfaction Guaranteed!	11				0761946535			2	Domestic,Second		0761946535			0	DEFAULT
Black Dart Tips Soft 1/4" - Set of 100 [Misc.]		0922I76YS1F	100 1/4" Tips	1.4	5	2011-09-22 07:17:38 PDT		y	1		Fast Shipping!  Ships within 24 hours First Class!  100% Satisfaction Guaranteed!	11				B004NDSYPI			1	Domestic		B004NDSYPI			0	DEFAULT
Spider-Man: Kraven's Last Hunt (Marvel Premiere Classic) by J. M. DeMatteis		0924I95Y4G3	1000	36	1	2011-09-24 08:55:57 PDT		y	2		Full number line shown. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				078512330X			1	Domestic		9780785123309			0	DEFAULT
Wizard: Jim Lee, Millennium Edition by Lee, Jim		0924I95Y6PR	1001	139.99	1	2011-09-24 08:55:59 PDT		y	2		Millenium Edition - no dust jacket as issued. Cover has faint scuffing from storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0974325333			1	Domestic		0974325333			0	DEFAULT
Secret Warriors, Vol. 5: Night [Hardcover] by Hickman, Jonathan; Gillen, Kieron		0924I95Y7XX	1002	12.04	1	2011-09-24 08:56:02 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0785148027			1	Domestic		9780785148029			0	DEFAULT
Punisher: Circle of Blood (Marvel Premiere Classic) by Grant, Steven; Duffy, Jim		0924I95Y8M3	1003	10	1	2011-09-24 08:56:04 PDT		y	2		Full number line shown. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0785123318			1	Domestic		9780785123316			0	DEFAULT
Wolverine: Not Dead Yet (Marvel Premiere Classic) by Warren Ellis		0924I95Y9Q3	1004	13.82	1	2011-09-24 08:56:05 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0785137661			1	Domestic		9780785137665			0	DEFAULT
Captain America: Reborn [Hardcover] by Ed Brubaker; Bryan Hitch; Butch Guice		0924I95YD2X	1006	9.93	1	2011-09-24 08:56:10 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0785139982			1	Domestic		9780785139980			0	DEFAULT
